OBJECTID,Speed (km/h),Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Vertical Accuracy (m),Latitude,Longitude,Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),GlobalID,Survey Time and Date,Observer4,Observer3,Observer2,Observer1,Longitude,Latitude,Other water quality notes,pH,Specific Conductivity Unit,Specific Conductivity,Dissolved Oxygen Unit,Dissolved Oxygen,Water Temperature,Water Temperature Unit,Instrument Used,Stream Width,Fish Habitat Features 1,Sub Dominant Substrate,Dominant Substrate,Stream Width Unit,Fish Habitat Features 2,Gradient Unit,Gradient,FRPA Barrier?,On Main Channel?,Channel Type,Survey end reason,Fish Survey Performed?,Stream physical characteristics notes,Fish capture data notes,Minnow trap effort notes,Eletrofishing effort notes,Trap position,Trap quantity,Trap deployment time,Fish present?,End of survey?,Trap check time,Fish Count 1,Fish Life Stage 1,Fish Species 1,Electrofishing End Time,Electrofishing Start Time,Fish Life Stage 2,Fish Species 2,Fish Capture 1 Notes,Additional Fish Capture Data,Fish Capture 2 Notes,Fish Count 2,Fish Species 4,Fish Capture 3 Notes,Fish Count 3,Fish Life Stage 3,Fish Species 3,Fish Capture 6 Notes,Fish Count 6,Fish Life Stage 6,Fish Species 6,Fish Capture 5 Notes,Fish Count 5,Fish Life Stage 5,Fish Species 5,Fish Capture 4 Notes,Fish Count 4,Fish Life Stage 4,GPS Accuracy,Turbidity Observation Time,Turbidity Sample Collection Time,Turbidity,Stream Width 3,Stream Width 2,Gradient Facing Downstream,x,y
1,0,0,303.529136583926,2,Samsung SM-G991U,3.29,3.29,60.4836089833333,-151.058868583333,47.4,1,0.699999988079071,0.699999988079071,1,,,18,7/14/2025 6:58:09 PM,,,,,3779a7d6-3654-4a2b-a839-cfbab4eb5681,7/14/2025 6:58:31 PM,,,,ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.058868583291,60.4836089833584
2,0.183869373918071,,,2,iPhone SE 3,4.74865153019176,3.12601678522618,60.5212720981755,-150.859240389945,72.6363993864506,,,,,,,,7/20/2025 8:32:48 PM,,,,,413fc150-b358-4e6b-aaf6-1a5339b43b4f,7/20/2025 8:33:05 PM,,,TM,BM,,,,,,,,,,,,,,,,,,,,,,,,,Uppermost headwaters area of channel. Not included in NHD line. Barely visible stream flow. Unlikely fish occupancy.,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.859240390226,60.52127209827
3,0,109.420541677709,71.9380798339844,2,iPhone SE 3,4.74865153019176,5.81265698079245,60.5202666344525,-150.86035073699,70.8245790079236,,,,,,,,7/20/2025 8:45:15 PM,,,,,8a5c19bc-5fc2-49fc-ac61-468cd193a669,7/20/2025 8:45:40 PM,,,TM,BM,,,,,,,,,,,,0-1,,,Fine Organic,ft,,%,0,,,,,,First observed location with flowing surface water definitely connected to NHD line. NHD line 400 feet downstream.  Too small and shallow for traps or electro Fisher,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.860350736663,60.5202666345661
4,0,100.856528939745,206.004516601563,2,iPhone SE 3,4.74865153019176,4.79750343437751,60.5202457921517,-150.860424537235,73.7433241941035,,,,,,,,7/20/2025 9:13:53 PM,,,,,f09fed00-c0ef-4f4f-a3f4-006431b64d76,7/20/2025 8:45:40 PM,,,TM,BM,,,,5.64,Us/cm,51.8,Mg/l,4.81,11.8,C,Ysi proquatro,0-1,,,Fine Organic,ft,,%,0,,,,end of stream,Y,First observed location with flowing surface water definitely connected to NHD line. NHD line 400 feet downstream.  Too small and shallow for traps or electro Fisher. Deployed minnow traps.,,Most upstream trap location. Textbook example of uppermost extent of wetlands headwaters.,Stream too small two electro fish past this point,Most upstream,1,7/30/2025 9:10:00 PM,N,Y,7/20/2025 10:28:10 PM,,,None,7/20/2025 10:28:00 PM,7/20/2025 10:27:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.860424536857,60.5202457920482
5,0.050003999999568,0,163.563646544941,2,Juniper Systems AR4,1.04292856898255,1.1,60.5201656666667,-150.860427666667,83.5,1.27999997138977,0.879999995231628,0.920000016689301,1,,,21,7/20/2025 9:25:44 PM,,,,,07392d65-7ca4-45c1-8fee-b9b35a9045b0,7/20/2025 9:25:50 PM,,,TM,BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7/20/2025 9:26:18 PM,,,7/20/2025 10:42:39 PM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.860427666587,60.5201656666832
6,0.053707999999536,0,150.093953426164,2,Juniper Systems AR4,1.25602547744861,1.4,60.5200878333333,-150.860503333333,83.4,0.939999997615814,0.540000021457672,0.769999980926514,1,,,26,7/20/2025 9:28:46 PM,,,,,9687e0f2-1786-4b1e-8e63-d46b4554e2ac,7/20/2025 9:28:51 PM,,,,BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7/20/2025 9:29:03 PM,,,7/20/2025 10:41:25 PM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.86050333348,60.5200878332918
7,0.209275999998192,0,135.310131911076,2,Juniper Systems AR4,0.870459648691426,1,60.5199826666667,-150.860682166667,82.8,0.949999988079071,0.529999971389771,0.779999971389771,2,,133,26,7/20/2025 9:30:26 PM,,,,,79b3294e-42ea-4573-9014-56ecec9f2581,7/20/2025 9:30:30 PM,,,,BM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7/20/2025 9:30:45 PM,,,7/20/2025 10:40:11 PM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.860682166494,60.5199826668706
8,0.10185999999912,0,52.8734847424984,2,Juniper Systems AR4,0.781024967590665,0.95,60.5199435,-150.860762,81.3,0.889999985694885,0.479999989271164,0.75,2,,131,31,7/20/2025 9:32:24 PM,,,,,96a57ac6-6f2f-46d7-b316-7a366fe5d85c,7/20/2025 9:32:27 PM,,,,BM,,,,,,,,,,,,1-2,,,,ft,,,,,,,,,,,,,,1,7/20/2025 9:32:45 PM,,,7/20/2025 10:38:37 PM,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.860761999773,60.5199434999825
9,0.033335999999712,0,110.404509630974,2,Juniper Systems AR4,1.69705627484771,2,60.5198751666667,-150.860827666667,82,0.870000004768372,0.469999998807907,0.730000019073486,1,,,31,7/20/2025 9:34:36 PM,,,,,8ebb2f62-d8e0-49ef-b51e-bbe2e7e3ff43,7/20/2025 9:34:55 PM,,,TM,bm,,,,,,,,,,,,2-4,,,Fine Organic,ft,,,,,,,,,"biofilmy pool, small",,,"stream likely too connected to soft banksides, juvenile fish easily scared away by footsteps?",,1,7/20/2025 9:35:19 PM,,,7/20/2025 10:36:35 PM,,,None,,7/20/2025 9:51:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.860827666621,60.5198751668078
10,0,,164.96142578125,2,iPhone SE 3,4.74865153019176,4.02936443818856,60.5133439461336,-150.85989327184,69.8575888406485,,,,,,,,7/21/2025 12:31:49 AM,,,,,dd01f5ba-2176-4bb8-b543-db204c1daea9,7/21/2025 12:32:25 AM,,,,BM,,,,,,,,,,,,,,,,,,,,,,,,,Severely collapsed culvert. Upstream Entrance Angled up at approximately 30°. Caught fish upstream in summer 2023. Unclear how much longer fish passage will be viable.,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150.859893271401,60.5133439460281
