Location ID (optional),Latitude (decimal degrees),Longitude (decimal degrees),Datum,Coordinate determination method,Name of water body,Date,Observer name (the first and last name of the person handling fish),Fish collection method,Species,Life stage,Length (mm) (NO estimates or ranges),Length method,Weight (g),Sex,Age,Age method (sample type),ADF&G GCL,Additional count (1),Disposition (1),Additional count (2),Disposition (2),Anesthesia/ Sedative Used (Leave blank if none used),Comments
Beaver Creek MT #10,60.617139,-151.092254,,,Beaver Creek MT #10,2023-06-01,Benjamin Meyer,Minnow Trap,ninespine stickleback,NA,40,NA,NA,,,,,0,ID'ed and Released,,,,Total length on photo in solocater
Beaver Creek MT #10,60.617139,-151.092254,,,Beaver Creek MT #10,2023-06-01,Benjamin Meyer,Minnow Trap,ninespine stickleback,NA,NA,NA,NA,,,,,4,ID'ed and Released,,,,
Moose River Trib 1.5,60.558075,-150.691734,,,Moose River Trib 1.5,2023-07-11,Benjamin Meyer,Minnow Trap,coho salmon,parr,70,NA,NA,,,,,4,ID'ed and Released,,,,
Moose River Trib 1.5,60.558075,-150.691734,,,Moose River Trib 1.5,2023-07-11,Benjamin Meyer,Minnow Trap,Dolly Varden,juvenile,80,NA,NA,,,,,2,ID'ed and Released,,,,
Moose River Trib 1.5,60.558075,-150.691734,,,Moose River Trib 1.5,2023-07-11,Benjamin Meyer,Minnow Trap,coho,parr,70,NA,NA,,,,,0,ID'ed and Released,,,,"Probably coho, but had trouble identifying right awau"
Soldotna Creek Mouth,60.48339,-151.0581319,,,Soldotna Creek Mouth,2023-05-31,Benjamin Meyer,Minnow Trap,coho salmon,parr,NA,NA,NA,,,,,15,ID'ed and Released,,,,
Soldotna Creek Mouth,60.48339,-151.0581319,,,Soldotna Creek Mouth,2023-05-31,Benjamin Meyer,Minnow Trap,Dolly Varden,juvenile,NA,NA,NA,,,,,1,ID'ed and Released,,,,
Soldotna Creek Mouth,60.48339,-151.0581319,,,Soldotna Creek Mouth,2023-05-31,Benjamin Meyer,Minnow Trap,slimy sculpin,NA,NA,NA,NA,,,,,6,ID'ed and Released,,,,
Soldotna Creek Mouth,60.48339,-151.0581319,,,Soldotna Creek Mouth,2023-05-31,Benjamin Meyer,Minnow Trap,rainbow trout,juvenile,NA,NA,NA,,,,,0,ID'ed and Released,,,,
Unnamed Kenai Trib 1.1,60.518324,-150.865283,,,Unnamed Kenai Trib 1.1,2023-07-16,Benjamin Meyer,NA,Dolly Varden,juvenile,80,NA,NA,,,,,0,ID'ed and Released,,,,
Unnamed Kenai Trib 1.1,60.518324,-150.865283,,,Unnamed Kenai Trib 1.1,2023-07-16,Benjamin Meyer,NA,coho salmon,parr,70,NA,NA,,,,,0,ID'ed and Released,,,,
Unnamed Kenai Trib 1.1,60.518324,-150.865283,,,Unnamed Kenai Trib 1.1,2023-07-16,Benjamin Meyer,NA,Dolly Varden,juvenile,100,NA,NA,,,,,1,ID'ed and Released,,,,
Unnamed Kenai Trib 1.1,60.518324,-150.865283,,,Unnamed Kenai Trib 1.1,2023-07-16,Benjamin Meyer,NA,coho salmon,parr,70,NA,NA,,,,,1,ID'ed and Released,,,,
Unnamed Kenai Trib 1.1,60.518324,-150.865283,,,Unnamed Kenai Trib 1.1,2023-07-16,Benjamin Meyer,NA,Dolly Varden,juvenile,90,NA,NA,,,,,14,ID'ed and Released,,,,Average
