Table 3.3 - Species Count by Site (1 of 5),,,,,,,,,,,,,,
site,Alaska blackfish,Chinook salmon,Dolly Varden,Pacific salmon-unspecif-ied,coho salmon,lamprey-unspecif-ied,nine-spine stickleback,rainbow trout,"salmonid, unspecif- ied",sculpin-unspecif-ied,slimy sculpin,sockeye salmon,stickle-back-unspecif-ied,three-spine stickle-back
Candlelight - Downstream,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WalMart Creek,8,0,0,0,0,0,0,0,2,0,0,0,0,0
Centennial Park Launch,0,6,0,0,0,0,0,0,0,0,0,0,0,2
Crooked Creek Trib 1.2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Lower Soldotna Creek,0,10,9,1,437,7,3,47,1,101,76,2,16,13
Soldotna Creek Mouth,0,2,2,0,102,0,0,4,0,43,7,0,2,1
Clam Gulch Creek 1,0,0,1,0,12,0,0,0,0,0,0,0,1,0
Cooper Creek Mouth,0,0,1,0,5,0,0,3,0,2,0,0,0,0
Forestner Culvert - Downstream,0,0,2,0,6,0,0,0,0,0,0,0,0,0
Funny River Rd Trib 1.1,0,0,5,0,2,0,0,0,0,0,0,0,0,0
Granite Creek 1.1,0,0,4,0,5,0,0,0,0,0,0,0,0,0
Granite Creek 4.1,0,0,4,0,5,0,0,0,0,0,0,0,0,0
Isbell 1,0,0,4,0,3,0,0,0,0,0,0,0,0,0
KNWR Trib 1,0,0,2,0,3,0,4,0,0,2,0,0,0,0
Moose River Trib 1,0,0,1,0,7,0,0,0,0,0,0,0,0,0
Moose River Trib 1.2,0,0,1,0,5,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
Table 3.3 - Species Count by Site (2 of 5),,,,,,,,,,,,,,
site,Alaska blackfish,Chinook salmon,Dolly Varden,Pacific salmon-unspecif-ied,coho salmon,lamprey-unspecif-ied,nine-spine stickleback,rainbow trout,"salmonid, unspecif- ied",sculpin-unspecif-ied,slimy sculpin,sockeye salmon,stickle-back-unspecif-ied,three-spine stickle-back
Moose River Trib 1.5,0,0,3,0,6,0,0,0,0,0,0,0,0,0
Moose River Trib 2.1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Moose River Trib 2.2,0,0,3,0,4,0,0,0,0,0,0,0,0,0
Moose River Trib 2.3,0,0,1,0,13,0,0,0,0,0,0,0,0,0
Otter Trail 1,0,0,2,0,20,0,4,0,0,0,0,0,0,0
Sixmile Trib 2,0,0,2,0,58,0,0,0,0,0,0,0,0,0
Soldotna Creek Parcel,0,0,8,0,126,0,0,0,0,0,0,0,0,0
Unnamed Kenai Trib 1.1,0,0,18,0,7,0,0,0,0,0,0,0,0,0
Unnamed Kenai Trib 1.2,0,0,1,0,4,0,0,0,0,0,0,0,0,0
Upper Ohmer Lake,0,0,2,0,0,0,0,4,0,0,0,0,0,0
Upper Soldotna Creek 1,0,0,5,0,16,0,0,0,0,0,0,0,37,0
Eagle Rock Stream,0,0,0,1,2,0,2,0,0,0,1,0,0,0
North Fork Anchor River,0,0,0,225,0,100,0,0,0,4,0,0,0,0
Beaver Creek MT #10,0,0,0,0,15,0,13,0,0,1,0,0,0,0
Beaver Creek Trib 1.1,0,0,0,0,11,0,17,0,0,0,0,0,0,0
Beaver Creek Trib 1.2,0,0,0,0,3,0,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
Table 3.3 - Species Count by Site (3 of 5),,,,,,,,,,,,,,
