"","latitude","longitude","site_arrive_date","site_arrive_time","site_depart_date","site_depart_time","site","observer_name","project_org","lifestage","count","notes","disposition","species"
"1",60.4836089833584,-151.058868583291,2025-07-14,10:58:31,2025-07-14,10:58:31,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"2",60.52127209827,-150.859240390226,2025-07-20,12:33:05,2025-07-20,12:33:05,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"3",60.5202666345661,-150.860350736663,2025-07-20,12:45:40,2025-07-20,12:45:40,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"4",60.5202457920482,-150.860424536857,2025-07-20,12:45:40,2025-07-30,13:10:00,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"5",60.5201656666832,-150.860427666587,2025-07-20,13:25:50,2025-07-20,14:42:39,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"6",60.5200878332918,-150.86050333348,2025-07-20,13:28:51,2025-07-20,14:41:25,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"7",60.5199826668706,-150.860682166494,2025-07-20,13:30:30,2025-07-20,14:40:11,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"8",60.5199434999825,-150.860761999773,2025-07-20,13:32:27,2025-07-20,14:38:37,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"9",60.5198751668078,-150.860827666621,2025-07-20,13:34:55,2025-07-20,14:36:35,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"10",60.5133439460281,-150.859893271401,2025-07-20,16:32:25,2025-07-20,16:32:25,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"11",60.6175083332561,-151.092390667101,2025-07-27,14:02:16,2025-07-28,16:22:40,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"12",60.6186671667768,-151.091918500011,2025-07-27,14:15:36,2025-07-28,16:27:11,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"13",60.6202111668466,-151.091437499787,2025-07-27,14:27:33,2025-07-27,14:27:41,"","Benjamin Meyer","KWF",NA,NA,"NA ; NA",NA,NA
"14",60.6221846664509,-151.090153332935,2025-07-27,14:55:45,2025-07-28,17:00:44,"","Benjamin Meyer","KWF","juvenile",NA,"NA ; NA","ID'd and released","stickleback-unspecified"
"15",60.6222674998185,-151.090121500235,2025-07-27,14:59:26,2025-07-28,17:02:50,"","Benjamin Meyer","KWF","juvenile",1,"NA ; NA","ID'd and released","stickleback-unspecified"
"16",60.6223748335068,-151.09008166624,2025-07-27,15:01:34,2025-07-28,17:04:28,"","Benjamin Meyer","KWF","tadpole",2,"Appears to be seasonal Flowing Channel Downstream of this point period Undefined Wetland area Upstream of this point period Likely flowing water after Rainy periods. Consider durveying again after heavy rains in fall. ; NA","ID'd and released","wood frog"
"17",60.6206078331563,-151.091485167091,2025-07-27,15:25:02,2025-07-28,16:44:44,"","Benjamin Meyer","KWF","tadpole",NA,"NA ; tadpole frog species unknown",NA,"no fish collected or observed"
"18",60.6206078331563,-151.091485167091,2025-07-27,15:25:02,2025-07-28,16:44:44,"","Benjamin Meyer","KWF","tadpole",NA,"NA ; tadpole frog species unknown",NA,"general fish observation, no species information"
"19",60.6206078331563,-151.091485167091,2025-07-27,15:25:02,2025-07-28,16:44:44,"","Benjamin Meyer","KWF","tadpole",NA,"NA ; tadpole frog species unknown",NA,"Other species not listed (please specify in comment column)"
"20",60.6191638332369,-151.091797000174,2025-07-27,15:35:02,2025-07-28,16:33:24,"","Benjamin Meyer","KWF",NA,1,"Most Upstream location where Visible flowing surface water is evident ; NA","ID'd and released","wood frog"
"21",60.6191638332369,-151.091797000174,2025-07-27,15:35:02,2025-07-28,16:33:24,"","Benjamin Meyer","KWF","juvenile",1,"Most Upstream location where Visible flowing surface water is evident ; NA","ID'd and released","stickleback-unspecified"
"22",60.6150878335298,-151.086157000426,2025-07-28,11:21:34,2025-07-28,12:16:06,"","Benjamin Meyer","KWF","juvenile",1,"NA ; Mortality","ID'd and released","Chinook salmon"
"23",60.6150878335298,-151.086157000426,2025-07-28,11:21:34,2025-07-28,12:16:06,"","Benjamin Meyer","KWF","adult",3,"NA ; NA","ID'd and released","sculpin-unspecified"
